Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
CP-1401-ND,CUI INC,RCJ-012,RIGHT RCA,1,0,0,8 Weeks,CONN RCA JACK METAL R/A RED PCB,,RoHS Compliant,Lead free,Not Available
CP-1402-ND,CUI INC,RCJ-013,LEFT RCA,1,0,0,8 Weeks,CONN RCA JACK METAL R/A WHT PCB,,RoHS Compliant,Lead free,Not Available
CP1-3533N-ND,CUI INC,SJ1-3533N,"HEADPHONE, LINEOUT",2,0,0,10 Weeks,CONN JACK STEREO R/A 3PIN 3.5MM,,RoHS Compliant,Lead free,Not Available
51QBK-ND,YAGEO,CFR-25JB-52-51R,"R4, R5",2,0,0,18 Weeks,RES 51 OHM 1/4W 5% AXIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
X1123-ND,ECS INC,ECS-3X8X,RTC CRYSTAL,1,0,0,16 Weeks,CRYSTAL 32.7680KHZ 12.5PF T/H,,RoHS Compliant,Lead free,Unaffected Dec-2014
DS1307+-ND,MAXIM INTEGRATED,DS1307+,RTC,1,0,0,10 Weeks,IC RTC CLK/CALENDAR I2C 8-DIP,,RoHS Compliant,Lead free,Unaffected Jun-2012
BK-890-ND,MEMORY PROTECTION DEVICES,BK-890,RTC BATTERY HOLDER,1,0,0,10 Weeks,RETAINER COIN 12MM W/PC PINS,,RoHS Compliant,Lead free,Unaffected Dec-2014
SY033-ND,FDK AMERICA INC,CR1220,RTC BATTERY,1,0,0,16 Weeks,BATTERY LITHIUM 3V COIN 12.5MM,,RoHS compliant by exemption,Lead free,Not Available
2.2KQBK-ND,YAGEO,CFR-25JB-52-2K2,"R8, R9",2,0,0,18 Weeks,RES 2.2K OHM 1/4W 5% AXIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
1276-1007-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21F104ZBCNNNC,"C1, C2, C7",3,0,0,13 Weeks,CAP CER 0.1UF 50V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
311-1.0KARCT-ND,YAGEO (VA),RC0805JR-071KL,R6,1,0,0,22 Weeks,RES SMD 1K OHM 5% 1/8W 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
475-1415-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LH R974-LP-1,RED LED,1,0,0,12 Weeks,LED RED DIFFUSED 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
SW400-ND,OMRON ELECTRONICS INC-EMC DIV,B3F-1000,,8,0,0,13 Weeks,SWITCH TACTILE SPST-NO 0.05A 24V,,RoHS Compliant,Lead free,Not Available
WM10795CT-ND,"MOLEX, LLC (VA)",0473093351,SD HOLDER,1,0,0,8 Weeks,CONN MICRO SD CARD PUSH-PULL R/A,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
568-8150-1-ND,NXP SEMICONDUCTORS (VA),"74HC4050D,653",SD BUFFER CHIP,1,0,0,26 Weeks,IC HEX LEVEL SHIFTER 16SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
296-18476-1-ND,TEXAS INSTRUMENTS (VA),LP2985-33DBVR,SD POWER SUPPLY,1,0,0,6 Weeks,IC REG LDO 3.3V 0.15A SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
399-3684-1-ND,KEMET (VA),T491A106K010AT,C8,1,0,0,2 Weeks,CAP TANT 10UF 10V 10% 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
296-4612-1-ND,TEXAS INSTRUMENTS (VA),SN74AHC573DWR,OCTAL LATCH,1,0,0,6 Weeks,IC OCT TRNSP D-TYP LATCH 20-SOIC,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
706-1041-ND,ISSI,IS62C1024AL-35QLI,128KIB SRAM,1,0,0,8 Weeks,IC SRAM 1MBIT 35NS 32SOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
SAM1067-50-ND,SAMTEC INC,TSW-150-17-T-S,8-8-8-8-8-10,1,0,0,2 Weeks,CONN HEADER 50POS .100 SNGL TIN,,RoHS Compliant,Lead free,Unaffected Jun-2015
SAM1067-36-ND,SAMTEC INC (VA),TSW-136-17-T-S,18-18,1,0,0,,CONN HEADER 36POS .100 SNGL TIN,No delivery date available,RoHS Compliant,Lead free,Unaffected Jun-2015
SAM1067-16-ND,SAMTEC INC (VA),TSW-116-17-T-S,LCD MALE PINS,1,0,0,,CONN HEADER 16POS .100 SNGL TIN,No delivery date available,RoHS Compliant,Lead free,Unaffected Jun-2015
3306W-103-ND,BOURNS INC,3306W-1-103,10K TRIM POT,1,0,0,21 Weeks,TRIMMER 10K OHM 0.2W PC PIN,,RoHS Compliant,Lead free,Unaffected Jun-2015
220QBK-ND,YAGEO,CFR-25JB-52-220R,R1,1,0,0,18 Weeks,RES 220 OHM 1/4W 5% AXIAL,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2014
4610X-1-103LF-ND,BOURNS INC,4610X-101-103LF,RN1,1,0,0,9 Weeks,RES ARRAY 9 RES 10K OHM 10SIP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
NHD-0216BZ-FL-YBW-ND,NEWHAVEN DISPLAY INTL,NHD-0216BZ-FL-YBW,LCD,1,0,0,16 Weeks,LCD MOD CHAR 2X16 Y/G TRANSFL,,RoHS Compliant,Lead free,Unaffected Jun-2015
BC1162CT-ND,VISHAY BC COMPONENTS (VA),K105Z20Y5VF5TL2,"C3,C4,C5,C6",4,0,0,8 Weeks,CAP CER 1UF 50V Y5V RADIAL,,RoHS Compliant,Lead free,Unaffected Jun-2011
